title,abstract,detailed_text,year,month,source_type,tech_field,trl
Distributed Adaptive Neural Network Output Tracking of Leader-Following High-Order Stochastic Nonlinear Multiagent Systems With Unknown Dead-Zone Input,"This paper studies the problem of distributed output tracking consensus control for a class high-order stochastic nonlinear multiagent systems with unknown dead-zone under directed graph topology. The adaptive neural networks are used to approximate functions and new inequality is deal completely input. Then, we design controllers based on backstepping method dynamic surface technique. It strictly proved that resulting closed-loop system stable in probability sense semiglobally uniform ultimate boundedness errors between leader followers approach small residual set Lyapunov stability theory. Finally, two simulation examples presented show effectiveness advantages proposed techniques.","This paper studies the problem of distributed output tracking consensus control for a class high-order stochastic nonlinear multiagent systems with unknown dead-zone under directed graph topology. The adaptive neural networks are used to approximate functions and new inequality is deal completely input. Then, we design controllers based on backstepping method dynamic surface technique. It strictly proved that resulting closed-loop system stable in probability sense semiglobally uniform ultimate boundedness errors between leader followers approach small residual set Lyapunov stability theory. Finally, two simulation examples presented show effectiveness advantages proposed techniques. Distributed Adaptive Neural Network Output Tracking of Leader-Following High-Order Stochastic Nonlinear Multiagent Systems With Unknown Dead-Zone Input",2015,12,paper,Backstepping,NaN
Exponential stabilization and synchronization for fuzzy model of memristive neural networks by periodically intermittent control,,,2015,12,paper,Memristor,NaN
Autonomous Gas Detection and Mapping With Unmanned Aerial Vehicles,"Unmanned aerial vehicles (UAVs) are nowadays largely employed in civil applications. One of the most promising applications is environmental monitoring (or risk assessment). We propose a battery-powered eNose board that can be embedded with any type drone. evaluated effectiveness sensing method by means field experiments using prototype as payload hexacopter. The results show analysis target parameters not perturbed air flow generated propellers. system suitable for mobile carrier (UAVs or wheeled robots), thanks to its lightweight and compact form factor. To further extend limited flight autonomy carrier, we developed an optimal algorithm gas leakage localization, simulating framework evaluate performance, provide design space exploration solar-powered drones.","Unmanned aerial vehicles (UAVs) are nowadays largely employed in civil applications. One of the most promising applications is environmental monitoring (or risk assessment). We propose a battery-powered eNose board that can be embedded with any type drone. evaluated effectiveness sensing method by means field experiments using prototype as payload hexacopter. The results show analysis target parameters not perturbed air flow generated propellers. system suitable for mobile carrier (UAVs or wheeled robots), thanks to its lightweight and compact form factor. To further extend limited flight autonomy carrier, we developed an optimal algorithm gas leakage localization, simulating framework evaluate performance, provide design space exploration solar-powered drones. Autonomous Gas Detection and Mapping With Unmanned Aerial Vehicles",2015,12,paper,Drone,NaN
The optimized artificial neural network model with Levenberg–Marquardt algorithm for global solar radiation estimation in Eastern Mediterranean Region of Turkey,,,2015,12,paper,Artificial neural network,NaN
Energy consumption control automation using Artificial Neural Networks and adaptive algorithms: Proposal of a new methodology and case study,,,2015,12,paper,Energy consumption,NaN
Distributed Control for State-of-Charge Balancing Between the Modules of a Reconfigurable Battery Energy Storage System,"This paper presents a distributed control strategy for state-of-charge balancing between the battery modules of reconfigurable energy storage system. The autonomous share information with their neighbors over sparse communication network and cooperate to reach balanced state charge. proposed provides advantages in terms reduced requirements increased modularity, centralized management Steady-state analysis bounds on mean error mean-squared average estimates used control. enforces module topology constraints specific particular implementation. mode current controller prevents spikes during transitions. Experimental results demonstrate performance system made up four 6-V, 7-Ah lead-acid modules.","This paper presents a distributed control strategy for state-of-charge balancing between the battery modules of reconfigurable energy storage system. The autonomous share information with their neighbors over sparse communication network and cooperate to reach balanced state charge. proposed provides advantages in terms reduced requirements increased modularity, centralized management Steady-state analysis bounds on mean error mean-squared average estimates used control. enforces module topology constraints specific particular implementation. mode current controller prevents spikes during transitions. Experimental results demonstrate performance system made up four 6-V, 7-Ah lead-acid modules. Distributed Control for State-of-Charge Balancing Between the Modules of a Reconfigurable Battery Energy Storage System",2015,12,paper,State of charge,NaN
"A data-driven, cooperative wind farm control to maximize the total power production",,,2015,12,paper,Wind power,NaN
Shining a Light on Exploitative Host Control in a Photosynthetic Endosymbiosis,"Endosymbiosis allows hosts to acquire new functional traits such that the combined host and endosymbiont can exploit vacant ecological niches occupy novel environments [1, 2]; consequently, endosymbiosis affects structure function of ecosystems [3, 4]. However, for many endosymbioses, it is unknown whether their evolutionary basis mutualism or exploitation [5-9]. We estimated fitness consequences symbiosis using interaction between protist Paramecium bursaria algal symbiont Chlorella sp. [10]. Host was strongly context dependent: whereas benefited from at high light intensity, carrying endosymbionts costly in dark conferred no benefit over growing autonomously intermediate levels. Autonomous densities increased monotonically with per-host load abundance peaked levels were lowest intensity. This suggests controlled costs by manipulating according Photosynthetic efficiency consistently lower symbiotic compared autonomous algae, suggesting nutritional constraints upon algae symbiosis. At levels, we observed establishment small populations free-living alongside endosymbionts, symbionts could escape symbiosis, but only under conditions where didn't Together, these data suggest exerted strong control there this mutually beneficial. Our findings support theoretical predictions (e.g., [5, 9]) an important pathway toward stable endosymbiosis.","Endosymbiosis allows hosts to acquire new functional traits such that the combined host and endosymbiont can exploit vacant ecological niches occupy novel environments [1, 2]; consequently, endosymbiosis affects structure function of ecosystems [3, 4]. However, for many endosymbioses, it is unknown whether their evolutionary basis mutualism or exploitation [5-9]. We estimated fitness consequences symbiosis using interaction between protist Paramecium bursaria algal symbiont Chlorella sp. [10]. Host was strongly context dependent: whereas benefited from at high light intensity, carrying endosymbionts costly in dark conferred no benefit over growing autonomously intermediate levels. Autonomous densities increased monotonically with per-host load abundance peaked levels were lowest intensity. This suggests controlled costs by manipulating according Photosynthetic efficiency consistently lower symbiotic compared autonomous algae, suggesting nutritional constraints upon algae symbiosis. At levels, we observed establishment small populations free-living alongside endosymbionts, symbionts could escape symbiosis, but only under conditions where didn't Together, these data suggest exerted strong control there this mutually beneficial. Our findings support theoretical predictions (e.g., [5, 9]) an important pathway toward stable endosymbiosis. Shining a Light on Exploitative Host Control in a Photosynthetic Endosymbiosis",2015,12,paper,Biology,NaN
The Internet of Things and Wearable Technology: Addressing Privacy and Security Concerns without Derailing Innovation,"This paper highlights some of the opportunities presented by rise so-called Internet Things in general and wearable technology particular encourages policymakers to allow these technologies develop a relatively unabated fashion. As with other new highly disruptive digital technologies, however, will challenge existing social, economic, legal norms. In particular, raise variety privacy safety concerns. The better alternative top-down regulation is deal those concerns creatively as they develop, using combination educational efforts, technological empowerment tools, social norms, public watchdog pressure, industry best practices self-regulation, transparency, targeted enforcement standards (especially torts), needed. bottom-up layered approach dealing problems not preemptively suffocate experimentation innovation. concludes outlining solutions. Finally, should forget that societal individual adaptation play role here, just it has during so many turbulent transformations. JEL codes: L86, L88, L5, K13, K00, K39, O3, O31, O33, M38","This paper highlights some of the opportunities presented by rise so-called Internet Things in general and wearable technology particular encourages policymakers to allow these technologies develop a relatively unabated fashion. As with other new highly disruptive digital technologies, however, will challenge existing social, economic, legal norms. In particular, raise variety privacy safety concerns. The better alternative top-down regulation is deal those concerns creatively as they develop, using combination educational efforts, technological empowerment tools, social norms, public watchdog pressure, industry best practices self-regulation, transparency, targeted enforcement standards (especially torts), needed. bottom-up layered approach dealing problems not preemptively suffocate experimentation innovation. concludes outlining solutions. Finally, should forget that societal individual adaptation play role here, just it has during so many turbulent transformations. JEL codes: L86, L88, L5, K13, K00, K39, O3, O31, O33, M38 The Internet of Things and Wearable Technology: Addressing Privacy and Security Concerns without Derailing Innovation",2015,12,paper,Transparency (behavior),NaN
Prediction of water holdup in vertical and inclined oil–water two-phase flow using artificial neural network,,,2015,12,paper,Artificial neural network,NaN
